Cuenta;Demanda de clase;Razón no1;Razones que determinan cuantas clases matrículan (no.1);Razón no2;Razones que determinan cuantas clases matrículan (no.2);Razón no3;Razones que determinan cuantas clases matrículan (no.3);Hora 7-9am;Hora 9-11am;Hora 11-1pm;Hora 1-3pm;Hora 3-5pmu;Hora 5-7pm;Hora 7-9pm;Egreso diversificado;¿estudios universitarios?;Universidad matrículado;Univeresidad matrículado otro;Educación Superior;Trabajo;Definir horario;Estado civil:;Sexo:;Cuenta;Campus original;Campus original;campus actual;Marca;CódigoCarrera;NombreCarrera;FACULTAD;CARRERA AGRUPADORA;PeriodoDeIngreso;PeriodoDeIngreso;ClasesAprobadas;ClasesReprobadas;Reprobó;Rango reporbación;ClasesRetiradas;Dscto_Q1 2017;DsctoCole_Q1 2017;DsctoMat_Q1 2017;Período de Ingreso;Q1 2019;Curso mat_promedio;Curso mat_er Q
31851072;Alto;Razón1;No había disponibilidad de cupos;Razón2;;Razón3;;No;Sí;No;No;No;No;No;2006;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Casado;Femenino;31851072;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2018-M5;Q4 2018;10;1;1;si;0;No;No;No;4;4;#N/A;Igual
31811823;Regular;Razón1;Capacidad de pago;Razón2;;Razón3;;Sí;No;No;No;No;No;No;2017;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Masculino;31811823;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2018-M1;Q1 2018;7;2;2 a 3;si;1;No;No;No;2;3;#N/A;Subio
61711525;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Compromisos personales;Razón3;No había disponibilidad de cupos;No;No;No;No;No;Sí;Sí;2016;Sí;Centro Universitario Tecnológico CEUTEC;;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Femenino;61711525;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L14B;PSICOLOGIA (ÉNFASIS: ÁREA EDUCATIVA);FCAS;Psicología;2017-M1;Q1 2017;11;1;1;si;1;Si;SI;SI;3;2;Bajo;Bajo
61811894;Alto;Razón1;Capacidad de pago;Razón2;;Razón3;;No;No;No;No;No;No;Sí;2004;No;;;;No;Mixto o turnos no definidos;Casado;Masculino;61811894;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2018-M1;Q1 2018;5;0;0;no;0;No;No;No;3;2;Bajo;Bajo
61811136;Regular;Razón1;La carga laboral que tiene ese periodo;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;No;No;No;No;No;No;Sí;2016;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;61811136;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACION DE EMPRESAS;FCAS;Administración de Empresas;2018-M1;Q1 2018;0;3;2 a 3;si;0;No;No;No;3;2;Bajo;Bajo
61711204;Alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;No;No;No;No;Sí;Sí;2017;No;;;;No;Diurno (6:00am- 6:00pm);Soltero;Femenino;61711204;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;23;0;0;no;0;No;No;No;3;2;Bajo;Bajo
31841023;Alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;No;No;No;No;Sí;Sí;1986;Sí;Otro;UNAH;Ya tiene otro título de educación superior;Sí;Matutino (6:00am- 12:00m);Casado;Masculino;31841023;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M4;Q3 2018;14;0;0;no;0;No;No;No;2;3;#N/A;Subio
317111064;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;Sí;Sí;2014;No;;;;Sí;Mixto o turnos no definidos;Soltero;Masculino;317111064;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;20;5;4 a 5;si;1;No;No;No;4;2;Bajo;Bajo
31721176;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;No;No;2018;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31721176;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M2;Q2 2017;18;3;2 a 3;si;1;No;No;No;3;3;#N/A;Igual
31821176;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;Sí;No;No;No;No;No;2018;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31821176;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2018-M2;Q2 2018;14;1;1;si;0;No;No;No;2;3;#N/A;Subio
31811092;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;Sí;No;2018;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31811092;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-7 ;INGENIERÍA EN ELECTRÓNICA;FIA;Electrónica;2018-M1;Q1 2018;14;3;2 a 3;si;0;No;No;No;3;3;#N/A;Igual
61721535;Alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;No había disponibilidad de cupos;No;No;No;No;No;Sí;Sí;;No;;;;No;Diurno (6:00am- 6:00pm);Soltero;Masculino;61721535;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2017-M2;Q2 2017;21;0;0;no;1;No;No;No;4;2;Bajo;Bajo
31821292;Alto;Razón1;Capacidad de pago;Razón2;No había disponibilidad de cupos;Razón3;Compromisos personales;Sí;No;No;No;No;No;No;2017;No;;;;No;Mixto o turnos no definidos;Soltero;Masculino;31821292;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M2;Q2 2018;5;1;1;si;1;No;No;No;3;4;#N/A;Subio
31711306;Alto;Razón1;Capacidad de pago;Razón2;;Razón3;;No;No;No;No;Sí;No;No;2017;Sí;Otro;Universidad UPNFM;Esta es la primera carrera de educación superior que está sacanda;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;31711306;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2017-M1;Q1 2017;21;3;2 a 3;si;1;Si;SI;NO;4;1;Bajo;Bajo
31811497;Bajo;Razón1;Compromisos personales;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;Disponibilidad de clases en horarios a su conveniencia;Sí;Sí;No;No;No;Sí;Sí;2015;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31811497;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2018-M1;Q1 2018;12;2;2 a 3;si;1;No;No;No;4;4;#N/A;Igual
31711175;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;Sí;No;No;No;No;No;No;2017;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;31711175;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;15;3;2 a 3;si;1;No;No;No;4;3;Bajo;Bajo
31721428;Muy alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Capacidad de pago;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;No;No;No;No;No;No;Sí;2017;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Femenino;31721428;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-5 ;TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN;FCAS - T;Administración;2017-M2;Q2 2017;5;1;1;si;1;No;No;No;2;1;Bajo;Bajo
