anio_matricula;modulo_matricula;no identificacion;Sexo;Sede;nivel;vertical;clases_matriculadas;anio_ingreso;modulo_ingreso;primera_matricula;ultima_matricula;tipo_ingreso_1
2019;2;8392;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2018;4;2018m4;2019m1;REINGRESO
2019;2;8393;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8394;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8395;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8396;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8397;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8398;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8399;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8400;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8401;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8402;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8403;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8404;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8405;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8406;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8407;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2019;1;2019m1;2019m1;REINGRESO
2019;2;8408;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8409;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8410;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8411;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8412;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2019;1;2019m1;2019m1;REINGRESO
2019;2;8413;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8414;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8415;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8416;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;1;2015m1;2018m5;REINGRESO
2019;2;8417;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2012;1;2012m1;2019m1;REINGRESO
2019;2;8418;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2011;1;2011m1;2019m1;REINGRESO
2019;2;8419;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2011;1;2011m1;2019m1;REINGRESO
2019;2;8420;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2010;4;2010m4;2019m1;REINGRESO
2019;2;8421;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2008;2;2008m2;2019m1;REINGRESO
2019;2;8422;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2007;4;2007m4;2019m1;REINGRESO
2019;2;8423;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2009;1;2016m2;2019m1;REINGRESO
2019;2;8424;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2009;5;2009m5;2019m1;REINGRESO
2019;2;8425;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2013;4;2013m4;2019m1;REINGRESO
2019;2;8426;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;1;2013;4;2013m4;2018m5;REINGRESO
2019;2;8427;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2013;1;2013m1;2019m1;REINGRESO
